,product_name,brand,water_usage_liters,carbon_footprint_kg,energy_consumption_kwh,packaging_waste_g,biodegradability,hazardous_chemicals,recyclability_score,environmental_certifications,environmental_impact_score
112,EVE LIPS COLOR SMOOTH BALM OLIVE,EVE LIPS COLOR,34.4,0.21,0.059,39,0.0,1,4,2,0.489
113,COSMOS,The Body Shop,125.0,0.25,2.23,15,96.25,1,5,3,0.9234198515
114,C.O. Bigelow Rose Salve,CO. Bigelow,2.7,0.027,0.0067,3,98.0,0,2,0,0.072
115,Sunscreen SPF 30,Marvel lipstick,13.0,0.0,23.0,12,0.99,0,6,0,0.114871755
116,Pantene Pro-V Shampoo,Pantene,3.6,0.253,1.79,28,11.7,1,10,0,0.71
117,Mens Cool Shave Gel,Gillette,20.0,2.439,2.1,120,1.0,6,5,0,2.825
118,FACE POLISH,HEALTHY,0.0,0.0,0.0,0,0.0,0,4,0,0.0
119,Gleam,P&G,0.38,1.84,0.46,14,94.0,0,9,0,1.0
120,Toothpaste,Colgate,1.8,0.026,0.0067,53,0.7,0,7,1,0.548
121,Penneys Pure range,Penneys,0.0,0.144,0.443,45,95.0,0,6,0,0.372
122,VIVA SPRAY 150 ml,VIVA,8.0,0.053,0.584,108,58.0,0,7,0,0.047
123,Pink Hibiscus Lip Conditioner,Kiss My Lips,6.4,0.025424009,0.0012618145,2,98.24,0,8,0,0.001116259
124,Rose Water,Bagal,1.0,0.038039825,0.0002865057,100,0.0,0,5,0,0.114524483
125,Olay Gentle Foaming Face Wash (100 ml),Olay,73.3,0.217,0.022,28,1.0,0,3,0,0.045
126,Healthy-Rose Gel,Rose,0.0,0.7411,0.215,11,0.0,4,6,0,0.8164
127,Mary Kay® Oil-Free Tinted Moisturizer SPF 15 PA++,Mary Kay®,2.0,1.52,1.34,13,41.8,1,8,0,44.59
128,BODY MIST LAVANDER,SANTA MARIA NOVELLA,1.32,0.205,0.301,9,89.0,0,9,0,0.319
129,Beauty and the beach,Oriflame,0.8,0.01596548,0.00795105,8,0.5346337,2,8,0,0.1342577
130,LUMIERS DAYTONA SOLEIL BRONZE,CHANEL,0.0,0.189,0.125,10,92.0,2,0,0,0.241
131,Vitamin C Serum,Bio-Oil,0.24,0.01,0.046,18,94.0,5,8,1,0.101
132,Hydra-Splash™ Ultra-Hydrating Makeup Remover,Kiehl’s,26.89,0.014,0.002,10,86.3,1,6,0,0.00062
133,Cosmetics,Born This Way Cosmetics,60.0,15.75,1.98,20,0.88,3,7,1,0.5960465361407644
134,Hair Regrowth Solution,Alice Blue,0.0,0.728041622,41.6875,0,90.0,0,9,0,0.728041622
135,purePressed Mineral Foundation SPF 15,purePressed,0.0,1.27,8.94,6,100.0,0,10,0,0.38
136,MUD,Bioderma,0.8,0.04912786,7.4815918,110,0.9352304,0,8,0,0.02252498
137,Skinfusion,Skinfusion,12.2,3.23,9.05,145,89.0,2,2,0,79.0
138,PH3+,LABORATOIRES PHYT'AQUA,4.3,0.137,0.049,39,0.03,4,9,1,0.224
139,Bubblegum,Nivea,377.3,0.215,5.08,184,1.0,30,8,0,0.264
140,Maybelline New York Full N' Soft Mascara,Maybelline New York,0.0,0.391,0.024,14,91.0,0,7,0,0.177
141,BODY LOTION,MOROCCO,15.0,0.19999999999999998,0.0008092928521638854,15,0.0,0,6,0,0.039999999999999994
142,Hydro Cooling Eye Mask,Dr. Jart+,9.6,0.395,0.0087,147,0.72,0,1,0,0.46
143,Burt's Bees Radiance Day Lotion SPF 15,Burt's Bees,43.99,1.84,2.09,40,26.0,2,4,0,54.23
144,Kérastase,L'Oréal,21.6,0.813723411,0.36149667,53,0.695652173,1,8,1,0.053574099
145,Cocoa and Shea butter Bubble bath,The Body Shop,30.0,0.876,2.23,240,99.0,0,7,0,0.144
146,L'Oreal Paris Extraordinary Clay Rebalancing Conditioner - 400ml,L'Oreal Paris,0.9,0.205,0.45,77,0.15,7,2,0,0.422
147,Fresh Moisture Facial Mask,FRESH,2.5,0.0,0.006,12,0.99,0,6,0,0.031
148,Fresh Lemon & Grapefruit Misting Spray,Weleda,40.0,3.05,3.5,30,100.0,0,6,0,0.0
149,SUNSCREEN-PAD,GUESS,3.7,1.4699,1.24,18,93.8,1,9,0,1.366
150,Just Lips,FABULIZE,0.0,0.0,0.0,6,0.0,0,7,0,0.383
151,Colgate Total Toothpaste,Colgate,0.0,0.0,0.126,5,0.0,0,7,0,0.0
152,Mascara,MAYBELLINE,0.175,0.3876,0.2622,14,0.994,1,3,0,0.2548
153,Mascara Yellow Chalk,Maybelline,0.8,0.0612,0.0748,10,10.0,0,10,0,0.4824
154,"Garnier Micellar Cleansing Water, Eye Make-up Remover, 200ml",Garnier,32.0,0.0,4.36,14,0.0,0,4,0,4.139999999999999
155,Himalaya Pure Herb Neem and Coriander Shampoo,HIMALAYA,109.0,5.262,1.782,32,81.0,0,7,0,0.223
156,"Mascara, Black Lash Epic 48H, Waterproof, Maybelline",Maybelline,1.23,0.66,11.1,15,98.0,8,9,0,0.663
157,BODY LOTION PINK,BODY DOLL,60.0,0.0333,0.3,0,68.0,1,2,0,0.33903225
158,NIVEA REJUVENATING Q10 NIGHT CREAM,NIVEA,0.345,0.671,0.044,107,0.474,3,4,1,0.874
159,Skin Care,K-Palette,23.643,13.291,145.315,12,80.5,0,8,0,24.778
160,Eucerin Aquaphor Healing Ointment,Eucerin,1.8,0.0566,0.00806,27,0.0,0,9,0,0.0
161,FDA COLORSTAY MATTE AND BRIGHTENING FOUNDATION,FDA,1.1,1.88,0.017,14,1.6,0,9,0,0.157
162,FUSION,SILKY GIRL,0.0,0.045,0.524,2,90.6,6,4,0,13.5
163,DAILY ESSENTIALS SOLAR DEFENCE DAY CREAM SPF#28,L'OCCITANE,0.0,0.0,0.0,25,100.0,1,7,0,0.353167975
164,Beauty Time Liquid Foundation,Sleek,16.4,0.9991,0.6404,4,94.99,0,3,0,0.4588
165,Glycerine Bar Soap,Livon,12.0,0.1073,1.0,30,94.0,1,4,1,0.6199
166,Black Liquid Eyeliner,BOURJOIS,24.0,0.464500571,0.0509,34,20.0,1,6,0,5.31919902
167,COOLING GEL,NOVAELOV,6.1,0.121,0.554,93,0.719,0,7,0,0.669
168,Gelactin,Dermalogica,21.0,0.684,0.142,10,100.0,0,0,0,0.193
169,Trojan &amp; Co. (Unilever) - Suave Professionals Men High-Performance Shave Cream,Trojan &amp; Co. (Unilever),3.4,19.925,6.305,108,51.15,11,3,0,15.067
170,Permanent Eyebrow Tint Kit,Anastasia Beverly Hills,2.7,0.10644777,0.0015706119,25,0.85644257,4,7,8,0.040900077
171,Innoxia Moisturizing Toner,Innisfree,1.78,0.04,0.25,18,0.0,1,3,0,0.01521739
172,Bubble Bath,Dove,0.0,0.01070489,0.00555915,150,97.545451,0,6,0,0.01101647
173,NATURAL DEODORANT,Natural Life,0.3,0.0,1.0,25,0.52,1,6,0,0.044
174,Aqua Green Tea Seed Oil,Shiseido,19.0,0.012,0.18,38,53.34,3,8,0,0.92
175,Burt's Bees Cleansing Cream,Burt's Bees,15.99,0.2841,0.2427,32,0.16,1,2,0,0.003436826
176,Baby Daily Care Cream,Baby Daily Care,2.5,0.1515,0.1186,6,0.37,1,8,0,0.1984
177,MASCULINE URBAN FRAGRANCE,Arazo,1.9,0.311,1.4,202,0.836,0,5,1,0.792
178,Deodorant stick,Dove,0.0,0.0874,2.123,110,96.49,0,10,0,0.0952
179,Olay White Radiance Creamy Cleanser,Olay,1.0,0.644,0.079,51,35.0,4,7,0,0.562
180,Cosmetic,Mary Kay,35.0,0.27829899,0.012137906,19,99.9,0,2,0,0.15917295
181,Garnier PureActive 3 in 1 face wash,Garnier,1.8,1.669,0.196,14,64.0,0,8,0,17.74
182,New Balance Men’s Cush+ Running Shoes,New Balance,0.0,1.01,0.35,29,0.18,1,2,0,0.17
183,Coucher de beauté,L'Oréal Paris,0.1,0.127,0.004,120,0.0,0,6,0,0.133
184,Lipa Moisture Boost,Etude House,231.0,0.18681619,1.66,20,0.99,0,4,0,0.063854816
185,Vinyllico lip and cheek tint,Vinyllico,112.0,0.178,0.506,46,0.743,4,2,0,0.325
186,No. 0123456789,ASDA,0.0,0.0358283577,2.339255219,13,0.35,0,7,0,0.268773447
187,Dove Deep Moisturizing Body Wash,Dove,18.3,0.07969351,0.000480216,20,0.13,0,9,0,0.2032402
188,"Shanghai VIE Cosmetics Co., Ltd. 24K GOLD GLOW GOLDEN SNAP CREAM 30ml","Shanghai VIE Cosmetics Co., Ltd.",6.0,0.839,0.092,12,0.006,3,2,0,0.012
189,EWAN BROTHERS SHOWER GEL,EWAN BROTHERS,6.64,0.16,0.14,19,0.0,4,5,0,8.0
190,Aqualily Perfect Curly,Aqualily,3.6,7.03,0.074,15,99.0,2,7,0,4.95
191,Tone Perfect Step,ELEMIS,0.0,0.0,0.0,35,1.0,9,9,0,0.0
192,Nature's Way Pure Almond Oil,Nature's Way,48.0,0.012,0.089,4,100.0,0,5,0,0.007
193,PINK EYESHADOW,M.A.C COSMETICS,1.0,0.206,0.006,1,0.08125,0,7,0,0.353
194,Eye Shadow,Brightly,0.23,0.0,0.051,65,90.3,0,0,2,0.0
195,MicroTouch Razors,MicroTouch,21.0,0.02455,0.10406,14,0.0,13,2,0,0.02067
196,WATER RESISTANT MASCARA - BLACK,LAUROLIA,2.27,8.51,2.12,3,58.0,23,4,0,0.16633245
197,Cool Water,Davidoff,267.0,16.3535,84.566,131,91.0,12,4,0,0.07326
198,Brightening Day Cream,Illuminage,0.0,0.305,0.286,15,0.55,0,5,0,0.966
199,SUNBURST BB CREAM,Innisfree,160.0,0.02726767,0.04993194,23,0.71,1,5,1,0.79052184
200,Caudalie Vinexpert Overnight Detox Oil,Caudalie,1.0,0.0,0.094,14,99.7,0,9,0,0.144
201,PURITO CENTELLA UNSCENTED SUN CREAM SPF50 PA+++ 130ml,PURITO,42.0,2.97,0.32,12,0.01,1,8,0,0.316952870878588
202,Cremorlab Mineral Treatment Essence SPF 30 PA++,Cremorlab,6.0,1.1758,2.0859,10,49.4,2,7,0,0.2972
203,Liquid soap,Ecostore,42.5,0.341,5.78,278,95.0,1,6,0,0.347
204,L'Oreal Paris Revitalift Laser X3 Anti-Aging Night Serum,L'Oreal Paris,5.0,0.5149,34.43,20,91.14,5,7,0,0.5861
205,Hair Therapy,Nature's Best,6.0,0.0123,0.0036,15,0.0,1,6,0,0.351497375
206,Garnier BB Cream,Garnier,5.0,0.0319,0.0247,117,0.9999,0,8,0,0.3777
207,Musk Killer,Dior,0.0,72.713,0.015,15,89.836,0,5,0,38.19
208,Bubbles,Majestic,250.0,32.8,3.4,21,98.0,0,7,1,0.39617224
209,Skin-friendly extra care shampoo,Tisserand,1.0,0.00162,0.00796,175,0.24,0,7,0,0.00628
210,Fruit & Shine,L'Oreal Paris,1.2,2.57,0.04,9,0.0,0,6,2,2.18
211,"L’Oréal Paris, Elseve, Nourishing Conditioner",L’Oréal Paris,5.5,0.25,0.214,106,0.95,1,7,0,0.738
212,Natural Facial Moisturizing Cream,The Body Shop,5.4,52.95,1.0,98,99.9,2,7,0,0.507536211
213,Cetaphil Gentle Skin Cleanser,Cetaphil,0.0,0.0,0.0,26,0.0,0,8,0,0.0
214,Neutrogena Ultra Sheer Liquid Sunscreen SPF 45 Sunscreen,Neutrogena,21.9,0.221,0.003,15,94.0,0,6,0,0.781
215,Anti-acne soap,Garnier,45.0,31.13,1.84,63,64.0,7,5,0,0.65811288
216,Shampoo for dry scalp,L'OREAL,8.0,0.5517,0.8311,55,57.97753862733949,1,7,2,0.4047
217,OXY FRESH,OXY,103.3,0.7178,1.42,27,5.0,1,8,0,2.0852
218,Night cream,Pure beauty,0.0,0.000292401777168,0.00020580150729,100,98.5293977267,0,4,0,0.000778154326955
219,"Sebamed Clear Face Foaming Gel, 100 ml",Sebamed,40.0,0.0615,0.012,42,99.0,0,9,0,0.3218
220,JoiSpa™,JOICO,0.0,6.5,1.1,0,90.0,2,7,0,71.72
221,Dove Purely Pampering Shower Cream,Dove,4.0,0.648,1.28,14,0.0,5,5,0,0.104
222,PACIFIC AGE CREAM (100ML),PACIFIC,0.0,0.0,0.0,133,93.0,0,5,0,0.0
223,T.N.T.,T.N.T.,13.0,188.2,3.0,24,52.0,3,7,1,0.399262
224,L'Oreal Paris Hair Care Elvive Extraordinary Clay Dry Shampoo,L'Oreal Paris,1.0,2.39,0.548,17,0.0,14,5,0,0.715
225,CHEEZ WHIZ,KRAFT CHEESE,1.5,1.30852158009901,0.014508316,17,10.0,0,6,1,0.646664834486867
226,"CACAO BODY BUTTER, BODY SCRUB, BODY SCUMBERS, SHOWER GEL, SHOWER MILK, BALM WITH JAMUN, HANDLING CREAM, FACE BALM, FACE SCUMBER",SANTELLI,2100.0,43.0116666666667,360.0,35,99.0,1,1,1,0.347666666666667
227,Hand and body lotion,Dermalogica,0.0,0.0,0.0,42,0.0,3,7,0,0.950666393
228,SKINANI DARK CIRCLE EYE CONTACT,SKINANI,3.0,0.6987,0.0258,17,0.24,1,10,0,0.1988
229,Talc Powder,Sebamed,1.6,0.0,2.3,14,99.5,0,10,2,40.34801573
230,Skin-Calm & Soothe Face Mask,Dr. Hauschka,86.4,2.6932,0.0316,18,95.3,1,10,0,0.0581
231,"Loose, waterproof",Garnier,1.0,2.02,6.5,15,0.69,2,5,0,6.469766666666668
232,Cosmic Curl Defining Styling Spray,Garnier,0.0,1.63,0.0,15,98.31,0,7,1,0.054
233,KIEHL'S LIP BALM №1,KIEHL'S,3.0,0.348,0.58,112,0.0,1,7,0,0.68
234,Wet n Wild Color Icon Eyeshadow Palette,Wet n Wild,1.7,0.321,0.069,97,16.6,0,4,0,0.516
235,Garnier Whitening & Brightening Face Cream,Garnier,1.0,0.14,0.014,11,80.0,3,6,0,0.7666666666666666
236,Volumizing Mousse,Garnier,110.0,8.38,2.4,15,40.5,2,5,2,0.5824000037762175
237,COSMETIC HANBAL PRODUCTS,SAYIDNA GABR,0.0,0.0,0.0,0,100.0,0,10,0,0.0
238,SANAJI MASSAGE OIL,SANAJI,110.0,0.5016,15.1704,183,96.44,0,6,1,0.0755
239,Creme Sensitivite Riche,L'OREAL,2.0,2.26,13.98,14,20.0,1,8,0,1.85
240,Cosmetic Product,KOSÉ,6.0,0.03,0.054,12,5.0,0,4,0,0.824
241,Kahlua London,Kahlua London,1.1,0.166,0.38,3,22.65,3,8,0,0.396
242,Peppermint Body Wash,The Body Shop,10.0,0.06166821,4.63,34,20.0,0,2,0,0.02949538
243,Rose Water Facial Toner,Garnier,4.0,0.096,0.038,46,12.6,0,7,0,0.001
244,COTTONEY COZY DUO SPF 25 PA++ / SPF 50+ PA++,ELIZABETH ARDEN,0.1,0.0,0.0,30,0.0,1,8,0,0.0
245,LUX Skin Nourishing Cream,LUX,1.6,1.27,0.07,25,0.81,5,0,0,0.67
246,L'Oréal Paris Revitalift 1.5% Pure Hyaluronic Acid Serum,L'Oréal Paris,1.9,0.075,0.015,25,20.0,1,5,0,0.041
247,Colgate toothpaste,Colgate,0.0,0.0,0.0,23,100.0,0,1,0,3.0
248,Origins,Origins,49.2,2.2496,51.07,118,0.5637,1,4,0,0.6936
249,Sea Mist,Lush,5.1,0.007722541,0.2165,29,0.8954399,0,8,0,0.9191779
